CustomerID,FirstName,LastName,Email,Segment,Region,FullName
1,Zachary,Little,jessicajackson@deleon.com,Consumer,North,Zachary Little
2,Jessica,Ross,brandon47@tucker-mcgee.com,Corporate,North,Jessica Ross
3,Jared,Collins,rebeccarodriguez@gmail.com,Consumer,West,Jared Collins
4,Randall,Hall,donald68@hotmail.com,Home Office,South,Randall Hall
5,Lisa,Johnson,justinatkins@reed.info,Consumer,West,Lisa Johnson
6,Mark,Taylor,loretta33@haley-weaver.info,Home Office,South,Mark Taylor
7,Courtney,Morgan,lewiscorey@hotmail.com,Home Office,East,Courtney Morgan
8,Daniel,Sanchez,christopher25@young-harper.biz,Corporate,East,Daniel Sanchez
9,Kimberly,Clark,rebecca07@jackson-copeland.net,Home Office,West,Kimberly Clark
10,Jacob,Horne,hoovermaria@gmail.com,Consumer,East,Jacob Horne
11,Theresa,Smith,patriciahammond@mercado-adams.com,Consumer,West,Theresa Smith
12,James,Williams,mccallamy@francis-gonzalez.com,Consumer,East,James Williams
13,Kara,Reyes,gregoryrich@gmail.com,Consumer,North,Kara Reyes
14,Melissa,Avila,richardsonalicia@wright.com,Corporate,West,Melissa Avila
15,Tracy,Sanchez,betty81@harris.com,Home Office,East,Tracy Sanchez
16,Wendy,Forbes,rhodesdana@gmail.com,Corporate,North,Wendy Forbes
17,Jessica,Farmer,kellyrobinson@gmail.com,Home Office,North,Jessica Farmer
18,Kenneth,Robinson,lukegonzales@mckay-schwartz.info,Home Office,South,Kenneth Robinson
19,Regina,Melendez,juanhickman@hotmail.com,Home Office,East,Regina Melendez
20,Alyssa,Hughes,suttondaniel@hotmail.com,Corporate,West,Alyssa Hughes
21,William,Wilson,ayalatimothy@gmail.com,Home Office,West,William Wilson
22,Kristy,Schultz,jeremy52@hotmail.com,Corporate,West,Kristy Schultz
23,Adam,Hunter,christine88@gmail.com,Home Office,North,Adam Hunter
24,Kristen,Valencia,wayne99@yahoo.com,Home Office,East,Kristen Valencia
25,Michael,Turner,myersdeborah@yahoo.com,Consumer,East,Michael Turner
26,Anne,Lee,patricia89@gmail.com,Corporate,North,Anne Lee
27,Anthony,Gray,dleach@park-ferrell.net,Home Office,East,Anthony Gray
28,Stacey,Everett,kimberlyfuentes@johnson.com,Home Office,West,Stacey Everett
29,Traci,Walsh,ashleymoore@yahoo.com,Corporate,North,Traci Walsh
30,Whitney,Harris,jasmine16@yahoo.com,Corporate,West,Whitney Harris
31,Amanda,Nelson,michael05@blair.com,Consumer,South,Amanda Nelson
32,Amanda,Thomas,nsullivan@gmail.com,Home Office,West,Amanda Thomas
33,Kathryn,Perez,btaylor@love-walker.info,Home Office,North,Kathryn Perez
34,Chad,Swanson,richardevans@farmer.info,Home Office,South,Chad Swanson
35,Heather,Lucas,maldonadomelissa@weber.org,Corporate,West,Heather Lucas
36,Robert,Cain,lopezjason@gmail.com,Corporate,East,Robert Cain
37,Christopher,Martinez,zachary01@miller-sanders.com,Home Office,West,Christopher Martinez
38,Melissa,Anderson,tammy66@anderson.com,Corporate,East,Melissa Anderson
39,Jeffrey,Hudson,sherry10@gmail.com,Home Office,North,Jeffrey Hudson
40,William,Perkins,fsmith@edwards-mcgrath.com,Consumer,South,William Perkins
41,Nancy,Ward,burnsjohn@gmail.com,Corporate,South,Nancy Ward
42,Cindy,Young,thomasbrenda@yahoo.com,Home Office,West,Cindy Young
43,Steven,Rodriguez,rgregory@ward-archer.biz,Home Office,North,Steven Rodriguez
44,Dennis,Lopez,jennifer37@gmail.com,Corporate,South,Dennis Lopez
45,Carl,Dalton,jonescrystal@rocha.com,Home Office,North,Carl Dalton
46,Jason,Mcdonald,lindaspencer@yahoo.com,Corporate,East,Jason Mcdonald
47,Caleb,Park,michelle41@hotmail.com,Corporate,East,Caleb Park
48,Casey,Shelton,crystal11@gmail.com,Consumer,West,Casey Shelton
49,Cynthia,Winters,whitejennifer@hotmail.com,Home Office,South,Cynthia Winters
50,Michelle,Harris,adammitchell@gmail.com,Home Office,West,Michelle Harris
51,Blake,Allen,cookshelley@ortega.com,Consumer,East,Blake Allen
52,Lee,Collins,hramirez@yahoo.com,Consumer,East,Lee Collins
53,Amanda,Dunlap,davisjoe@gmail.com,Consumer,North,Amanda Dunlap
54,Ernest,Villegas,tara43@atkins.com,Corporate,West,Ernest Villegas
55,Juan,Grant,wilsonphyllis@thompson.com,Home Office,North,Juan Grant
56,Adam,Martin,mark96@romero.net,Consumer,East,Adam Martin
57,Marc,Maxwell,robert59@gmail.com,Corporate,South,Marc Maxwell
58,Brandon,Weeks,bking@yahoo.com,Consumer,South,Brandon Weeks
59,Barbara,Webb,munozpaula@martinez.net,Home Office,East,Barbara Webb
60,Russell,Vazquez,hector26@gmail.com,Consumer,East,Russell Vazquez
61,Kelsey,Woods,jennifer83@hotmail.com,Home Office,West,Kelsey Woods
62,Brent,Green,xwebb@herring.com,Consumer,West,Brent Green
63,Teresa,Davis,danielscharles@yahoo.com,Consumer,North,Teresa Davis
64,Patricia,Wood,williammurphy@schwartz-robinson.com,Consumer,East,Patricia Wood
65,Katelyn,Wilkerson,bonnie78@flores.com,Home Office,North,Katelyn Wilkerson
66,Paul,Hall,antoniochan@yahoo.com,Corporate,South,Paul Hall
67,Meghan,Richards,joseph18@frederick.net,Corporate,East,Meghan Richards
68,Heather,Gonzalez,lestermeagan@wagner.com,Home Office,West,Heather Gonzalez
69,Robyn,Strickland,kmarks@yahoo.com,Consumer,South,Robyn Strickland
70,Jennifer,Johnson,villegasmorgan@yahoo.com,Consumer,East,Jennifer Johnson
71,Shane,Ward,xwilliams@yahoo.com,Home Office,North,Shane Ward
72,Robert,Murphy,rebecca61@hernandez.com,Consumer,West,Robert Murphy
73,Kristina,Cabrera,romanlisa@yahoo.com,Corporate,East,Kristina Cabrera
74,Brandon,Scott,brandon91@strickland.com,Consumer,West,Brandon Scott
75,Nicholas,Rogers,lauraortiz@yahoo.com,Consumer,North,Nicholas Rogers
76,Helen,Melendez,tgonzalez@turner.biz,Home Office,South,Helen Melendez
